Code,Name,Geography,Area (sq km),Estimated Population mid-2022,2022 people per sq. km,Estimated Population mid-2011,2011 people per sq. km
E07000034,Chesterfield,Non-metropolitan District,66.03529999999999,104110,1577,103788,1572
E07000035,Derbyshire Dales,Non-metropolitan District,792.4242999999999,71752,91,71104,90
E07000036,Erewash,Non-metropolitan District,109.6301,113080,1031,112249,1024
E07000037,High Peak,Non-metropolitan District,539.1433999999999,91109,169,90982,169
E07000038,North East Derbyshire,Non-metropolitan District,275.6237,103783,377,99100,360
E07000039,South Derbyshire,Non-metropolitan District,338.12690000000003,111133,329,94915,281
E10000018,Leicestershire,County,2082.8939,722155,347,651179,313
E07000129,Blaby,Non-metropolitan District,130.4687,104182,799,94132,721
E07000130,Charnwood,Non-metropolitan District,279.0426,184748,662,165876,594
E07000131,Harborough,Non-metropolitan District,591.7966,100481,170,85699,145
E07000132,Hinckley and Bosworth,Non-metropolitan District,297.3514,114298,384,105328,354
E07000133,Melton,Non-metropolitan District,481.38059999999996,52433,109,50495,105
E07000134,North West Leicestershire,Non-metropolitan District,279.3279,107672,385,93670,335
E07000135,Oadby and Wigston,Non-metropolitan District,23.5261,58341,2480,55979,2379
E10000019,Lincolnshire,County,5937.3375,775524,131,714768,120
E07000136,Boston,Non-metropolitan District,364.00849999999997,70806,195,64615,178
E07000137,East Lindsey,Non-metropolitan District,1766.7735999999998,144415,82,136683,77
E07000138,Lincoln,Non-metropolitan District,35.6901,102545,2873,93085,2608
E07000139,North Kesteven,Non-metropolitan District,922.4714,119709,130,108518,118
E07000140,South Holland,Non-metropolitan District,750.0762,96983,129,88390,118
E07000141,South Kesteven,Non-metropolitan District,942.5857000000001,144249,153,134125,142
E07000142,West Lindsey,Non-metropolitan District,1155.732,96817,84,89352,77
E10000024,Nottinghamshire,County,2084.7117000000003,834822,400,786796,377
E07000170,Ashfield,Non-metropolitan District,109.5581,127179,1161,119522,1091
E07000171,Bassetlaw,Non-metropolitan District,637.8035,120012,188,113003,177
E07000172,Broxtowe,Non-metropolitan District,80.0988,112113,1400,109749,1370
E07000173,Gedling,Non-metropolitan District,119.9818,117730,981,113741,948
E07000174,Mansfield,Non-metropolitan District,76.6974,111117,1449,104551,1363
E07000175,Newark and Sherwood,Non-metropolitan District,651.3403,125089,192,114982,177
E07000176,Rushcliffe,Non-metropolitan District,409.2318,121582,297,111248,272
E12000005,WEST MIDLANDS,Region,12998.2645,6021653,463,5608667,431
E06000019,"Herefordshire, County of",Unitary Authority,2179.7085,188719,87,183619,84
E06000051,Shropshire,Unitary Authority,3197.2756,327178,102,307108,96
E06000021,Stoke-on-Trent,Unitary Authority,93.44850000000001,259965,2782,248719,2662
E06000020,Telford and Wrekin,Unitary Authority,290.3137,188871,651,166831,575
E10000028,Staffordshire,County,2620.2884,886284,338,849546,324
E07000192,Cannock Chase,Non-metropolitan District,78.8825,101140,1282,97582,1237
E07000193,East Staffordshire,Non-metropolitan District,386.9593,125760,325,113858,294
E07000194,Lichfield,Non-metropolitan District,331.2944,108352,327,100911,305
E07000195,Newcastle-under-Lyme,Non-metropolitan District,210.9571,125297,594,123878,587
E07000196,South Staffordshire,Non-metropolitan District,407.32239999999996,111527,274,108318,266
E07000197,Stafford,Non-metropolitan District,598.1722,138670,232,130895,219
E07000198,Staffordshire Moorlands,Non-metropolitan District,575.8498000000001,95899,167,97209,169
E07000199,Tamworth,Non-metropolitan District,30.850700000000003,79639,2581,76895,2492
E10000031,Warwickshire,County,1975.0763,607604,308,546554,277
E07000218,North Warwickshire,Non-metropolitan District,284.2614,65946,232,62089,218
E07000219,Nuneaton and Bedworth,Non-metropolitan District,78.9503,135481,1716,125409,1588
E07000220,Rugby,Non-metropolitan District,351.11330000000004,116436,332,100496,286
E07000221,Stratford-on-Avon,Non-metropolitan District,977.8692,138583,142,120824,124
E07000222,Warwick,Non-metropolitan District,282.8821,151158,534,137736,487
E11000005,West Midlands (Met County),Metropolitan County,901.6396000000001,2953816,3276,2739733,3039
E08000025,Birmingham,Metropolitan District,267.7912,1157603,4323,1074283,4012
E08000026,Coventry,Metropolitan District,98.6392,355600,3605,316915,3213
E08000027,Dudley,Metropolitan District,97.95819999999999,324969,3317,313261,3198
E08000028,Sandwell,Metropolitan District,85.55879999999999,344210,4023,309042,3612
E08000029,Solihull,Metropolitan District,178.282,217678,1221,206856,1160
E08000030,Walsall,Metropolitan District,103.9736,286105,2752,269524,2592
E08000031,Wolverhampton,Metropolitan District,69.4366,267651,3855,249852,3598
E10000034,Worcestershire,County,1740.5139000000001,609216,350,566557,326
E07000234,Bromsgrove,Non-metropolitan District,216.96830000000003,100076,461,93732,432
E07000235,Malvern Hills,Non-metropolitan District,577.071,81024,140,74706,129
E07000236,Redditch,Non-metropolitan District,54.2509,87132,1606,84318,1554
E07000237,Worcester,Non-metropolitan District,33.2781,104120,3129,98679,2965
E07000238,Wychavon,Non-metropolitan District,663.5418,134536,203,117074,176
E07000239,Wyre Forest,Non-metropolitan District,195.40380000000002,102328,524,98048,502
E12000006,EAST,Region,19115.5915,6398497,335,5862418,307
E06000055,Bedford,Unitary Authority,476.4082,187466,393,157840,331
E06000056,Central Bedfordshire,Unitary Authority,715.6655000000001,301501,421,255644,357
E06000032,Luton,Unitary Authority,43.3526,226973,5236,203641,4697
E06000031,Peterborough,Unitary Authority,343.3782,217705,634,184457,537
E06000033,Southend-on-Sea,Unitary Authority,41.6742,180915,4341,174274,4182
E06000034,Thurrock,Unitary Authority,163.8371,176877,1080,158268,966
E10000003,Cambridgeshire,County,3046.2357,689109,226,622312,204
E07000008,Cambridge,Non-metropolitan District,40.6989,146995,3612,122725,3015
E07000009,East Cambridgeshire,Non-metropolitan District,651.286,89394,137,84245,129
E07000010,Fenland,Non-metropolitan District,546.4502,103035,189,95461,175
E07000011,Huntingdonshire,Non-metropolitan District,906.176,184052,203,170039,188
E07000012,South Cambridgeshire,Non-metropolitan District,901.6246000000001,165633,184,149842,166
E10000012,Essex,County,3458.4257000000002,1519509,439,1396599,404
E07000066,Basildon,Non-metropolitan District,110.001,188848,1717,174971,1591
E07000067,Braintree,Non-metropolitan District,611.7079,157681,258,147514,241
E07000068,Brentwood,Non-metropolitan District,153.1241,77332,505,73841,482
E07000069,Castle Point,Non-metropolitan District,44.673500000000004,89731,2009,87964,1969
E07000070,Chelmsford,Non-metropolitan District,338.75800000000004,183326,541,168491,497
E07000071,Colchester,Non-metropolitan District,328.2239,194394,592,173614,529
E07000072,Epping Forest,Non-metropolitan District,338.98400000000004,134989,398,124880,368
E07000073,Harlow,Non-metropolitan District,30.5379,94409,3092,82177,2691
E07000074,Maldon,Non-metropolitan District,357.8158,67554,189,61720,172
E07000075,Rochford,Non-metropolitan District,167.0927,87216,522,83333,499
E07000076,Tendring,Non-metropolitan District,336.3244,151451,450,138062,411
