Code,Name,Geography,Area (sq km),Estimated Population mid-2022,2022 people per sq. km,Estimated Population mid-2011,2011 people per sq. km
S12000010,East Lothian,Council Area,679.2405,112450,166,99920,147
S12000011,East Renfrewshire,Council Area,174.24740000000003,97160,558,90810,521
S12000014,Falkirk,Council Area,297.1374,158450,533,156250,526
S12000047,Fife,Council Area,1325.1903,371340,280,365300,276
S12000049,Glasgow City,Council Area,174.6221,622820,3567,593060,3396
S12000017,Highland,Council Area,25653.0881,235710,9,232730,9
S12000018,Inverclyde,Council Area,160.4385,78340,488,81220,506
S12000019,Midlothian,Council Area,353.68230000000005,97030,274,83450,236
S12000020,Moray,Council Area,2237.5557,94280,42,93470,42
S12000013,Na h-Eileanan Siar,Council Area,3055.5359000000003,26120,9,27690,9
S12000021,North Ayrshire,Council Area,885.2845,133490,151,138090,156
S12000050,North Lanarkshire,Council Area,469.99150000000003,340930,725,337720,719
S12000023,Orkney Islands,Council Area,990.4889999999999,22020,22,21420,22
S12000048,Perth and Kinross,Council Area,5285.6047,151120,29,146850,28
S12000038,Renfrewshire,Council Area,261.49080000000004,184340,705,174700,668
S12000026,Scottish Borders,Council Area,4731.7677,116820,25,113880,24
S12000027,Shetland Islands,Council Area,1467.4775,23020,16,23240,16
S12000028,South Ayrshire,Council Area,1222.2264,111560,91,112980,92
S12000029,South Lanarkshire,Council Area,1771.8859,327430,185,313900,177
S12000030,Stirling,Council Area,2186.1581,92530,42,90330,41
S12000039,West Dunbartonshire,Council Area,158.7649,88270,556,90610,571
S12000040,West Lothian,Council Area,427.7393,181720,425,175300,410
N92000002,NORTHERN IRELAND,Country,13546.6539,1910543,141,1814318,134
N09000001,Antrim and Newtownabbey,Local Government District,571.4315,146148,256,138651,243
N09000011,Ards and North Down,Local Government District,458.3476,164223,358,156943,342
N09000002,"Armagh City, Banbridge and Craigavon",Local Government District,1331.6752,220271,165,200298,150
N09000003,Belfast,Local Government District,132.9638,348005,2617,333895,2511
N09000004,Causeway Coast and Glens,Local Government District,1979.5816,141316,71,140907,71
N09000005,Derry City and Strabane,Local Government District,1237.3,150836,122,148191,120
N09000006,Fermanagh and Omagh,Local Government District,2835.9389,116994,41,113501,40
N09000007,Lisburn and Castlereagh,Local Government District,503.57599999999996,149915,298,135280,269
N09000008,Mid and East Antrim,Local Government District,1044.5278,139200,133,135365,130
N09000009,Mid Ulster,Local Government District,1823.0343,151001,83,139011,76
N09000010,"Newry, Mourne and Down",Local Government District,1628.2772,182634,112,172276,106
